Reboot Period,normal reboot sched,secboot sched
0.0,0.2407755664335667,0.2407755664335667
0.01,0.2417168407148409,0.24139336929736957
0.02,0.2401701325341324,0.23948924231324256
0.03,0.2413355098235098,0.24035159840159803
0.04,0.24051194094794087,0.2393041629481627
0.05,0.24047126096126106,0.23881786213786224
0.06,0.24077871040071033,0.23876939305139316
0.07,0.24040035386835368,0.23810156332556326
0.08,0.24162537395937392,0.23895723587523604
0.09,0.24086440115440114,0.2377303816183816
0.1,0.24080326984126993,0.23750649195249213
0.11,0.2408040546120546,0.23719104384504364
0.12,0.24086877122877115,0.23673071839271861
0.13,0.2416621201021203,0.23739924741924748
0.14,0.24066728338328355,0.23596073593073583
0.15,0.24070870218670215,0.23580715617715614
0.16,0.24187855122655108,0.23655456610056583
0.17,0.23968983327783344,0.23413900210900207
0.18,0.24049605194805188,0.23463806660006664
0.19,0.2419029204129204,0.23570161238761225
0.2,0.2410673053613054,0.23440879675879678
0.21,0.23976157042957041,0.23293860872460884
0.22,0.2407513974913973,0.2335085476745477
0.23,0.240529108891109,0.23304151381951352
0.24,0.24104097347097353,0.23304874614274598
0.25,0.24165118237318245,0.23340505316905313
0.26,0.24066873992673996,0.23217053923853953
0.27,0.24053793206793203,0.2319264646464648
0.28,0.240655710955711,0.231612904872905
0.29,0.24051851526251525,0.23136553069153076
0.3,0.24114334509934515,0.23154822866022862
0.31,0.24082496947496962,0.2307999238539241
0.32,0.24169716150516155,0.2316348964368964
0.33,0.24148185747585718,0.2310974103674104
0.34,0.2413180883560883,0.23060363392163394
0.35,0.2407742461982462,0.22953732467532448
0.36,0.24137893439893443,0.2298898414918415
0.37,0.24099173826173828,0.22932417005216998
0.38,0.24102631102231095,0.22902016383616383
0.39,0.24134662026862042,0.22887020068820083
0.4,0.24138340326340338,0.2284883984903985
0.41,0.2406302497502499,0.2274547694527694
0.42,0.24063703074703066,0.227550605838606
0.43,0.24090396159396182,0.2271800468420468
0.44,0.24149764768564755,0.22762930025530034
0.45,0.24029940703740701,0.22634816250416265
0.46,0.24075394716394727,0.2264211306471305
0.47,0.2408092736152737,0.22597358263958256
0.48,0.2416622446442445,0.22663649306249298
0.49,0.24102332267732265,0.22596465845265837
0.5,0.24119711399711394,0.22550686979686954
0.51,0.2410899356199356,0.2253546340326339
0.52,0.24132818625818617,0.22533320235320212
0.53,0.24203966566766563,0.22535934065934063
0.54,0.2419948302808301,0.22536796847596835
0.55,0.24143669486069494,0.2244368149628149
0.56,0.24099630303030303,0.22372828682428697
0.57,0.24029457320457326,0.22309496947496937
0.58,0.2409518110778111,0.22298874614274636
0.59,0.2413947536907536,0.2232583378843378
0.6,0.24101264246864235,0.22266777799977805
0.61,0.2409825656565656,0.22239646597846605
0.62,0.24139852458652458,0.22240608702408685
0.63,0.2415667317127319,0.22220574625374653
0.64,0.24056782484182485,0.2212278372738372
0.65,0.23996348606948628,0.22064878721278752
0.66,0.2410518519258519,0.220949075813076
0.67,0.24058955644355634,0.22047794449994437
0.68,0.24089506227106217,0.22007912998113002
0.69,0.24121762570762548,0.22075768498168502
0.7,0.240991117105117,0.21995387257187238
0.71,0.2406847148407147,0.2192908611388611
0.72,0.241092462870463,0.21961826151626154
0.73,0.24153045310245336,0.2198050245310245
0.74,0.2409759837939838,0.21898000111000124
0.75,0.24156639227439236,0.21904260117660113
0.76,0.24158119968919983,0.21862442712842692
0.77,0.24019726828726815,0.21750074081474077
0.78,0.2411580372960374,0.2182776678876675
0.79,0.24094680364080362,0.21774930269730258
0.8,0.2415650598290599,0.21757367876567876
0.81,0.2408786526806528,0.2171078437118439
0.82,0.24000343301143276,0.21599915440115455
0.83,0.2406604448884447,0.21670947785547773
0.84,0.24133412765012774,0.21661642490842498
0.85,0.24076310755910743,0.2156572156732158
0.86,0.24025598667998646,0.2153144122544123
0.87,0.2411564446664447,0.21571347607947605
0.88,0.24071069730269726,0.2155478117438117
0.89,0.24147401709401714,0.21576504961704948
0.9,0.2413074136974138,0.2153772352092353
0.91,0.24175035231435227,0.21511063092463084
0.92,0.24016597646797633,0.2135953184593185
0.93,0.2417660299700301,0.214406457764458
0.94,0.24056766655566636,0.21365038184038193
0.95,0.24009833921633944,0.21304028171828165
0.96,0.2400585079365081,0.21243679187479209
0.97,0.24104186213786202,0.21368529181929183
0.98,0.24105102497502479,0.21310959462759477
0.99,0.2414186779886781,0.21302482695082692
1,0.2410122549,0.2116681477
