Reboot Period,non-secboot sched,secboot sched
0,0.9998799999999998,0.9998799999999998
1,0.9999399999999999,0.0
2,0.99987,0.0
3,0.9999199999999999,0.0
4,0.9998199999999999,0.0
5,0.99986,0.0
6,0.9998799999999998,3.888888888888889e-05
7,0.9998899999999998,0.0002955555555555556
8,0.9998799999999998,0.01891
9,0.9998899999999998,0.001191111111111111
10,0.99984,0.09815666666666667
11,0.9998799999999998,0.0023566666666666666
12,0.9998999999999998,0.0025011111111111115
13,0.99987,0.004264444444444444
14,0.9999099999999999,0.003847777777777778
15,0.99984,0.008004444444444444
16,0.9998299999999999,0.05781666666666666
17,0.99984,0.008757777777777778
18,0.9998499999999999,0.014892222222222223
19,0.99974,0.024442222222222223
20,0.9998799999999998,0.21105333333333334
21,0.9999099999999999,0.015496666666666667
22,0.9998999999999998,0.024896666666666664
23,0.99974,0.009473333333333332
24,0.9998099999999999,0.07029777777777778
25,0.9998999999999998,0.24606
26,0.9999099999999999,0.02566888888888889
27,0.99986,0.018668888888888888
28,0.9998299999999999,0.02439777777777778
29,0.9998499999999999,0.02704222222222222
30,0.9997899999999998,0.18823111111111113
31,0.9997999999999999,0.08693111111111113
32,0.9999099999999999,0.08999
33,0.9998899999999998,0.1164188888888889
34,0.9999399999999999,0.037809999999999996
35,0.9998499999999999,0.04875444444444445
36,0.9999399999999999,0.028631111111111114
37,0.9998499999999999,0.03674333333333333
38,0.9998199999999999,0.049433333333333336
39,0.99987,0.08949444444444445
40,0.99987,0.3189911111111111
41,0.9998199999999999,0.09882111111111112
42,0.9998299999999999,0.02906888888888889
43,0.99977,0.031858888888888895
44,0.99977,0.06623333333333334
45,0.9998799999999998,0.057988888888888895
46,0.9997899999999998,0.04616555555555555
47,0.9997899999999998,0.04099666666666666
48,0.99987,0.19779000000000002
49,0.9998499999999999,0.2021588888888889
50,0.9999299999999999,0.48901888888888884
51,0.9999299999999999,0.026157777777777776
52,0.99976,0.06484444444444444
53,0.99987,0.11726555555555554
54,0.9998899999999998,0.06240000000000001
55,0.9999299999999999,0.07362222222222223
56,0.9998299999999999,0.12177777777777779
57,0.99976,0.09796777777777778
58,0.9999499999999999,0.047225555555555555
59,0.9999099999999999,0.10882333333333333
60,0.99975,0.38006777777777784
61,0.9998199999999999,0.15282111111111113
62,0.99987,0.17171888888888887
63,0.9998099999999999,0.05088888888888889
64,0.9998799999999998,0.14603
65,0.99986,0.11406333333333334
66,0.9998499999999999,0.18210777777777776
67,0.9999199999999999,0.08100666666666666
68,0.99976,0.09035333333333334
69,0.9997799999999999,0.09221888888888888
70,0.9997799999999999,0.27420222222222224
71,0.99975,0.1521211111111111
72,0.9998999999999998,0.1260688888888889
73,0.9999199999999999,0.04216111111111112
74,0.9999099999999999,0.2052344444444444
75,0.99996,0.2953533333333333
76,0.99987,0.06535222222222223
77,0.99977,0.1280622222222222
78,0.9999299999999999,0.1926766666666667
79,0.9997899999999998,0.2630811111111111
80,0.9998499999999999,0.43926333333333334
81,0.9998899999999998,0.13794111111111113
82,0.99986,0.16762444444444444
83,0.9999199999999999,0.25495222222222225
84,0.9998799999999998,0.05907444444444444
85,0.9998099999999999,0.08957111111111112
86,0.99987,0.058021111111111114
87,0.99986,0.14256555555555558
88,0.99986,0.16264333333333333
89,0.9999399999999999,0.09742222222222223
90,0.9999099999999999,0.27649222222222225
91,0.99977,0.15011666666666668
92,0.9999499999999999,0.19673444444444443
93,0.99984,0.25601333333333337
94,0.99987,0.17054000000000002
95,0.99986,0.18588888888888888
96,0.9998999999999998,0.3221922222222222
97,0.9998899999999998,0.28242888888888884
98,0.9998299999999999,0.29129777777777777
99,0.9999099999999999,0.45351222222222226
100,0.9999399999999999,0.5683977777777778
101,0.9998999999999998,0.037163333333333326
102,0.99986,0.06451333333333334
103,0.99986,0.0881177777777778
104,0.9999099999999999,0.19088999999999998
105,0.9998899999999998,0.08720888888888889
106,0.99986,0.15053444444444444
107,0.9998199999999999,0.16047555555555557
108,0.99987,0.13446888888888886
109,0.9998499999999999,0.14050444444444446
110,0.9998999999999998,0.30322111111111105
111,0.9998999999999998,0.1677677777777778
112,0.9997999999999999,0.3368011111111111
113,0.9998199999999999,0.18281111111111112
114,0.99974,0.23297
115,0.99986,0.17000666666666667
116,0.99973,0.27660555555555555
117,0.9998999999999998,0.25567333333333336
118,0.9998499999999999,0.29020333333333337
119,0.99986,0.3715188888888889
120,0.9999399999999999,0.5334766666666666
121,0.9998799999999998,0.19999333333333336
122,0.9999299999999999,0.23714444444444446
123,0.99984,0.32921
124,0.9998899999999998,0.37938666666666665
125,0.9998799999999998,0.4000666666666667
126,0.99984,0.07507222222222222
127,0.9999199999999999,0.09758222222222222
128,0.99987,0.20378222222222223
129,0.9998299999999999,0.09752
130,0.9999299999999999,0.29077555555555556
131,0.9998299999999999,0.15682333333333337
132,0.9998999999999998,0.20323222222222226
133,0.9998299999999999,0.28561222222222216
134,0.9998299999999999,0.09757666666666667
135,0.99987,0.10533333333333333
136,0.9998099999999999,0.20848
137,0.99974,0.21614222222222224
138,0.9999199999999999,0.20598777777777777
139,0.99987,0.28482555555555555
140,0.9998899999999998,0.39066000000000006
141,0.9998899999999998,0.1633511111111111
142,0.9998099999999999,0.19242444444444443
143,0.9999499999999999,0.24360444444444443
144,0.9997999999999999,0.34080444444444447
145,0.99984,0.28578111111111115
146,0.9999099999999999,0.2983822222222222
147,0.99987,0.30839666666666665
148,0.99984,0.35049222222222226
149,0.9998499999999999,0.4019166666666667
150,0.9997199999999999,0.5233099999999999
151,0.9999399999999999,0.09199333333333332
152,0.9999099999999999,0.19895222222222222
153,0.9998499999999999,0.15395444444444445
154,0.9998299999999999,0.1831588888888889
155,0.9998499999999999,0.2393733333333333
156,0.9998199999999999,0.2799066666666667
157,0.9998999999999998,0.2603077777777778
158,0.9997899999999998,0.35659222222222225
159,0.9997999999999999,0.3429355555555555
160,0.9999099999999999,0.49562666666666666
161,0.9999099999999999,0.1703466666666667
162,0.9997999999999999,0.28153888888888884
163,0.9998199999999999,0.23569666666666667
164,0.99984,0.26611
165,0.9999499999999999,0.2974522222222223
166,0.9998799999999998,0.33313111111111116
167,0.9998199999999999,0.10515000000000001
168,0.9998899999999998,0.16584999999999997
169,0.9998099999999999,0.12904555555555555
170,0.9999399999999999,0.2988588888888889
171,0.9999099999999999,0.15995777777777778
172,0.9998299999999999,0.2777677777777778
173,0.99987,0.3308466666666667
174,0.9998199999999999,0.31974111111111114
175,0.9998299999999999,0.33675555555555564
176,0.9997899999999998,0.22334333333333334
177,0.9998499999999999,0.18355555555555558
178,0.99987,0.29968
179,0.9998499999999999,0.3552566666666667
180,0.9999299999999999,0.4416522222222222
181,0.99987,0.21064555555555556
182,0.9998099999999999,0.2689722222222223
183,0.99987,0.3414388888888889
184,0.99984,0.3505355555555556
185,0.9998499999999999,0.27981999999999996
186,0.99986,0.3434988888888889
187,0.9998899999999998,0.3643888888888889
188,0.9999099999999999,0.20032333333333333
