Reboot Period,non-secboot sched,secboot sched
0,0.4430222222222222,0.4430222222222222
1,0.43792444444444445,0.0
2,0.44308333333333333,0.0
3,0.4436255555555555,0.0
4,0.4477222222222223,0.0
5,0.44036333333333333,0.0
6,0.44102777777777774,2.6666666666666663e-05
7,0.44043444444444446,0.0001577777777777778
8,0.44922222222222224,0.0030177777777777776
9,0.4443,0.0006344444444444445
10,0.4453966666666667,0.015484444444444443
11,0.44383666666666666,0.00129
12,0.44197888888888887,0.0015444444444444446
13,0.4412844444444445,0.002163333333333333
14,0.4422277777777778,0.0022888888888888885
15,0.4441511111111111,0.004113333333333334
16,0.44358777777777786,0.009268888888888889
17,0.44621000000000005,0.004597777777777779
18,0.44513222222222226,0.005832222222222222
19,0.4443633333333332,0.008733333333333333
20,0.44520666666666675,0.05280555555555556
21,0.4440566666666667,0.006308888888888888
22,0.4408844444444444,0.00881
23,0.4492311111111111,0.0064955555555555565
24,0.44319222222222227,0.012054444444444444
25,0.44162111111111113,0.07839666666666666
26,0.4395800000000001,0.012923333333333335
27,0.44272777777777783,0.00972111111111111
28,0.44441555555555556,0.009937777777777778
29,0.44372000000000006,0.014933333333333335
30,0.4422566666666667,0.02724333333333333
31,0.44299111111111106,0.035750000000000004
32,0.4444777777777778,0.016782222222222223
33,0.4411366666666667,0.038401111111111115
34,0.4450488888888889,0.013994444444444445
35,0.44384111111111113,0.025096666666666666
36,0.4455111111111111,0.01325
37,0.44076999999999994,0.017505555555555555
38,0.4436366666666667,0.025026666666666666
39,0.44049,0.02545777777777778
40,0.44660777777777777,0.08744222222222224
41,0.44307777777777774,0.045727777777777784
42,0.4449144444444444,0.01587888888888889
43,0.4429411111111111,0.018405555555555557
44,0.44548444444444446,0.030235555555555564
45,0.4460144444444445,0.03384555555555556
46,0.44222333333333336,0.01726555555555556
47,0.44223888888888885,0.02085
48,0.44215777777777776,0.044006666666666666
49,0.43876888888888893,0.08202666666666666
50,0.44224444444444444,0.15619111111111111
51,0.44121,0.016843333333333335
52,0.44504555555555547,0.02540111111111111
53,0.44540444444444444,0.03639222222222222
54,0.44427888888888895,0.03243
55,0.44866000000000006,0.04264777777777778
56,0.44356222222222225,0.026652222222222226
57,0.4445511111111111,0.03559333333333334
58,0.4448977777777778,0.02465222222222222
59,0.43841888888888886,0.03694333333333333
60,0.44538777777777777,0.09751000000000001
61,0.4441611111111112,0.07268000000000001
62,0.44680222222222227,0.08519222222222224
63,0.4483377777777777,0.024732222222222225
64,0.4445888888888889,0.03729888888888888
65,0.4418655555555555,0.04630444444444444
66,0.44410555555555553,0.06545000000000001
67,0.4435544444444444,0.03830222222222222
68,0.44325,0.04463111111111111
69,0.44453000000000004,0.04239444444444445
70,0.4433033333333334,0.06580555555555555
71,0.4410544444444444,0.06351333333333334
72,0.4414377777777778,0.030172222222222225
73,0.44421222222222223,0.025492222222222225
74,0.4433255555555556,0.05029999999999999
75,0.44499000000000005,0.09716
76,0.4438277777777778,0.03556555555555555
77,0.4413722222222223,0.050737777777777784
78,0.4456911111111112,0.07200444444444445
79,0.44183555555555565,0.0875022222222222
80,0.4433155555555555,0.1338855555555556
81,0.44582333333333335,0.07567444444444445
82,0.44522000000000006,0.08777555555555556
83,0.4434588888888889,0.10838222222222221
84,0.44458,0.032350000000000004
85,0.4428211111111111,0.037462222222222216
86,0.44378999999999996,0.031077777777777777
87,0.4412811111111111,0.03901
88,0.44117888888888895,0.046331111111111115
89,0.4471855555555555,0.04712777777777778
90,0.44554777777777776,0.06555888888888889
91,0.4454433333333333,0.06059333333333334
92,0.44327666666666665,0.07945999999999999
93,0.4437822222222223,0.09890777777777779
94,0.44413555555555556,0.08707555555555556
95,0.4415688888888889,0.09311
96,0.4391022222222222,0.11577222222222222
97,0.4428988888888889,0.13244333333333336
98,0.44050999999999996,0.14735888888888893
99,0.44700333333333336,0.18824222222222223
100,0.44503666666666664,0.23058000000000003
101,0.44494111111111107,0.030606666666666664
102,0.44481444444444446,0.03445777777777778
103,0.4445488888888889,0.04179444444444444
104,0.44622000000000006,0.05527555555555555
105,0.44438333333333335,0.04753333333333333
106,0.44626333333333335,0.05696
107,0.44803333333333334,0.06659
108,0.4463455555555556,0.05231555555555555
109,0.43842222222222227,0.05846333333333334
110,0.44398666666666675,0.0767511111111111
111,0.4429733333333334,0.07042333333333334
112,0.44269000000000003,0.09229888888888887
113,0.4391711111111111,0.08984222222222223
114,0.4396011111111111,0.10102444444444443
115,0.4429211111111111,0.09629555555555556
116,0.4400266666666667,0.11228888888888891
117,0.44361,0.1229688888888889
118,0.443718888888889,0.13941777777777778
119,0.4427711111111112,0.16142666666666666
120,0.4427111111111111,0.1984677777777778
121,0.44270000000000004,0.13566555555555557
122,0.43967888888888884,0.1407466666666667
123,0.44733555555555554,0.15896444444444446
124,0.4436688888888889,0.17963111111111113
125,0.43844,0.19274222222222223
126,0.44429888888888885,0.04553555555555556
127,0.4434588888888889,0.048709999999999996
128,0.44351888888888896,0.05980333333333333
129,0.4424333333333334,0.05662444444444445
130,0.4439633333333334,0.07717111111111111
131,0.444528888888889,0.07097111111111111
132,0.4451188888888889,0.08262444444444446
133,0.4445544444444444,0.09699111111111111
134,0.4456733333333333,0.05361111111111111
135,0.4408311111111111,0.05806333333333333
136,0.44233111111111106,0.06529444444444446
137,0.44288777777777777,0.0695488888888889
138,0.4450277777777778,0.07384444444444443
139,0.44549777777777777,0.08941555555555555
140,0.44101222222222225,0.11362222222222224
141,0.4435755555555555,0.08181666666666669
142,0.4420511111111111,0.08796222222222222
143,0.4402955555555555,0.09380111111111111
144,0.4444811111111111,0.11323333333333332
145,0.4477566666666667,0.12081444444444446
146,0.44477555555555554,0.12344
147,0.44073,0.1303188888888889
148,0.4452566666666667,0.15125333333333335
